"","doid","Term","Synonym","Secondary"
"9925","DOID:0080088","obsolete nonsyndromic congenital nail disorder 10","NA","NA"
"9928","DOID:0080089","tubular aggregate myopathy 1","NA","NA"
"9931","DOID:0080090","reducing body myopathy 1A","NA","NA"
"9934","DOID:0080091","spheroid body myopathy","NA","NA"
"9937","DOID:0080092","myofibrillar myopathy 1","""desminopathy"" EXACT []","DOID:0110286"
"9943","DOID:0080093","myofibrillar myopathy 2","""alpha-b crystallinopathy"" EXACT []","NA"
"9947","DOID:0080094","myofibrillar myopathy 3","""myotilinopathy"" EXACT []","DOID:0110300"
"9953","DOID:0080095","myofibrillar myopathy 4","""zaspopathy"" EXACT []","NA"
"9957","DOID:0080096","myofibrillar myopathy 5","""filaminopathy"" EXACT []","NA"
"9961","DOID:0080097","myofibrillar myopathy 6","""BAG3-related myofibrillar myopathy"" RELATED []","NA"
"9965","DOID:0080098","myofibrillar myopathy 7","NA","NA"
"9968","DOID:0080099","myopathy, lactic acidosis, and sideroblastic anemia","NA","NA"
"9971","DOID:0080100","congenital myopathy","""Batten Turner congenital myopathy"" EXACT []","NA"
"9975","DOID:0080101","Compton-North congenital myopathy","NA","NA"
"9978","DOID:0080102","congenital fiber-type disproportion","""CFTD"" EXACT []","NA"
"9982","DOID:0080103","cylindrical spirals myopathy","NA","NA"
"9985","DOID:0080105","microcephaly and chorioretinopathy 1","NA","NA"
"9988","DOID:0080106","microcephaly and chorioretinopathy 2","NA","NA"
"9991","DOID:0080107","microcephaly and chorioretinopathy 3","NA","NA"
"9994","DOID:0080108","myoglobinuria","NA","NA"
"9997","DOID:0080109","infantile myofibromatosis","""lipofibromatosis"" EXACT []","NA"
"10001","DOID:0080110","multiple pterygium syndrome","NA","NA"
"10004","DOID:0080111","mitochondrial complex III deficiency nuclear type 1","NA","NA"
"10007","DOID:0080112","mitochondrial complex III deficiency nuclear type 3","NA","NA"
"10010","DOID:0080113","mitochondrial complex III deficiency nuclear type 4","NA","NA"
"10013","DOID:0080114","mitochondrial complex III deficiency nuclear type 5","NA","NA"
"10016","DOID:0080115","mitochondrial complex III deficiency nuclear type 6","NA","NA"
"10019","DOID:0080116","mitochondrial complex III deficiency nuclear type 7","NA","NA"
"10022","DOID:0080117","mitochondrial complex III deficiency nuclear type 8","NA","NA"
"10025","DOID:0080118","mitochondrial complex III deficiency nuclear type 9","NA","NA"
"10028","DOID:0080119","mitochondrial DNA depletion syndrome 1","""mitochondrial neurogastrointestinal encephalopathy syndrome, TYMP-related"" EXACT []","NA"
"10033","DOID:0080120","mitochondrial DNA depletion syndrome 2","""TK2-related mitochondrial DNA depletion syndrome, myopathic form"" EXACT []","NA"
"10037","DOID:0080121","mitochondrial DNA depletion syndrome 3","""deoxyguanosine kinase deficiency"" EXACT []","NA"
"10041","DOID:0080122","Alpers-Huttenlocher syndrome","""progressive sclerosing poliodystrophy"" EXACT []","DOID:1442"
"10053","DOID:0080123","mitochondrial DNA depletion syndrome 4b","""mitochondrial neurogastrointestinal encephalopathy syndrome"" EXACT []","NA"
"10057","DOID:0080124","mitochondrial DNA depletion syndrome 5","""succinate-CoA ligase deficiency"" EXACT []","NA"
"10061","DOID:0080125","mitochondrial DNA depletion syndrome 6","""Navajo neurohepatopathy"" EXACT []","NA"
"10066","DOID:0080126","mitochondrial DNA depletion syndrome 7","""OHAHA SYNDROME"" EXACT []","DOID:0050556"
"10072","DOID:0080127","mitochondrial DNA depletion syndrome 8a","""RRM2B-related mitochondrial DNA depletion syndrome, encephalomyopathic form with renal tubulopathy"" EXACT []","NA"
"10076","DOID:0080128","mitochondrial DNA depletion syndrome 9","""fatal infantile lactic acidosis"" EXACT []","NA"
"10080","DOID:0080129","mitochondrial DNA depletion syndrome 11","""progressive external ophthalmoplegia-myopathy-emaciation syndrome"" EXACT []","NA"
"10084","DOID:0080130","mitochondrial DNA depletion syndrome 12a","NA","NA"
"10087","DOID:0080131","mitochondrial DNA depletion syndrome 13","""mitochondrial DNA depletion syndrome 13, encephalomyopathic type"" EXACT []","NA"
"10093","DOID:0080132","Sengers syndrome","""mitochondrial DNA depletion syndrome 10 (cardiomyopathic type)"" EXACT []","NA"
"10098","DOID:0080133","multiple mitochondrial dysfunctions syndrome 1","""NFU1 deficiency"" EXACT []","NA"
"10102","DOID:0080134","multiple mitochondrial dysfunctions syndrome 2","""multiple mitochondrial dysfunctions syndrome 2 with hyperglycinemia"" EXACT []","NA"
"10107","DOID:0080135","multiple mitochondrial dysfunctions syndrome 3","""IBA57 deficiency"" EXACT []","NA"
"10111","DOID:0080136","multiple mitochondrial dysfunctions syndrome 4","NA","NA"
"10114","DOID:0080137","multiple endocrine neoplasia type 4","""Multiple Endocrine Neoplasia, Type IV"" EXACT []","NA"
"10118","DOID:0080138","multiple congenital anomalies-hypotonia-seizures syndrome 1","NA","NA"
"10121","DOID:0080139","multiple congenital anomalies-hypotonia-seizures syndrome 2","""glycosylphosphatidylinositol biosynthesis defect 4"" EXACT []","DOID:0080466"
"10128","DOID:0080140","multiple congenital anomalies-hypotonia-seizures syndrome 3","NA","NA"
"10131","DOID:0080141","mosaic variegated aneuploidy syndrome 1","NA","NA"
"10134","DOID:0080142","mosaic variegated aneuploidy syndrome 2","NA","NA"
"10137","DOID:0080143","congenital fibrosis of the extraocular muscles","NA","NA"
"10140","DOID:0080144","childhood acute lymphocytic leukemia","""Childhood Acute Lymphoblastic Leukemia"" EXACT []","NA"
"10144","DOID:0080145","childhood T-cell acute lymphoblastic leukemia","""T-cell childhood acute lymphocytic leukemia"" EXACT []","DOID:7933"
"10150","DOID:0080146","childhood B-cell acute lymphoblastic leukemia","NA","NA"
"10153","DOID:0080147","lymphoblastic lymphoma","NA","NA"
"10156","DOID:0080148","T-cell childhood lymphoblastic lymphoma","""Childhood T lymphoblastic lymphoma"" EXACT []","NA"
"10160","DOID:0080149","adult acute monocytic leukemia","NA","NA"
"10163","DOID:0080150","adrenocorticotropic hormone deficiency","NA","NA"
"10166","DOID:0080153","medium chain acyl-CoA dehydrogenase deficiency","NA","NA"
"10169","DOID:0080154","short chain acyl-CoA dehydrogenase deficiency","NA","NA"
"10172","DOID:0080155","very long chain acyl-CoA dehydrogenase deficiency","NA","NA"
"10175","DOID:0080156","X-linked adrenal hypoplasia congenita","""congenital adrenal hypoplasia"" EXACT []","NA"
"10179","DOID:0080158","herpes simplex virus keratitis","""dendritic keratitis"" EXACT []","NA"
"10183","DOID:0080159","Cryptococcal meningitis","NA","NA"
"10186","DOID:0080160","Cytomegalovirus retinitis","""CMV retinitis"" EXACT []","NA"
"10190","DOID:0080161","cutaneous candidiasis","NA","NA"
"10193","DOID:0080162","lupus nephritis","NA","NA"
"10196","DOID:0080163","otulipenia","""otulin-related autoinflammatory syndrome"" EXACT []","NA"
"10201","DOID:0080164","myeloid and lymphoid neoplasms with eosinophilia and abnormalities of PDGFRA, PDGFRB, and FGFR1","""Myeloid and Lymphoid Neoplasms with Eosinophilia and Rearrangement of PDGFRA, PDGFRB, or FGFR1, or with PCM1-JAK2"" EXACT []","NA"
"10206","DOID:0080165","myeloid and lymphoid neoplasms associated with PDGFRA rearrangement","""Myeloid and Lymphoid Neoplasms with PDGFRA Rearrangement"" EXACT []","NA"
"10210","DOID:0080166","myeloid and lymphoid neoplasms associated with PDGFRB rearrangement","""Myeloid and Lymphoid Neoplasms with PDGFRB Rearrangement"" EXACT []","NA"
"10214","DOID:0080167","myeloid and lymphoid neoplasms associated with FGFR1 abnormalities","NA","NA"
"10217","DOID:0080169","tricuspid atresia","NA","NA"
"10220","DOID:0080170","normophosphatemic familial tumoral calcinosis","NA","NA"
"10223","DOID:0080171","esophageal atresia/tracheoesophageal fistula","""tracheoesophageal fistula with or without esohageal atresia"" EXACT []","NA"
"10228","DOID:0080172","thiopurine S-methyltransferase deficiency","""TPMT deficiency"" EXACT []","NA"
"10233","DOID:0080173","bladder exstrophy-epispadias-cloacal exstrophy complex","""exstrophy-epispadias complex"" EXACT []","NA"
"10237","DOID:0080174","bladder exstrophy","NA","NA"
"10240","DOID:0080175","cloacal exstrophy","NA","NA"
"10243","DOID:0080176","meningococcal meningitis","NA","NA"
"10246","DOID:0080177","hepatic veno-occlusive disease","""veno-occlusive disease"" EXACT []","NA"
"10250","DOID:0080178","mucositis","NA","NA"
"10253","DOID:0080179","haemophilus meningitis","NA","NA"
"10256","DOID:0080180","Zika virus congenital syndrome","""ZIKV congenital infection"" EXACT []","NA"
"10260","DOID:0080181","PHARC syndrome","""polyneyropathy, hearing loss, ataxia, retinitis pigmentosa, and cataract"" EXACT []","NA"
"10264","DOID:0080182","mixed fibrolamellar hepatocellular carcinoma","NA","NA"
"10267","DOID:0080183","medullary colon carcinoma","NA","NA"
"10270","DOID:0080184","mixed mucinous and nonmucinous bronchioloalveolar adenocarcinoma","""mixed mucinous and non-mucinous bronchioloalveolar adenocarcinoma"" EXACT []","NA"
"10275","DOID:0080185","mucinous bronchioloalveolar adenocarcinoma","NA","NA"
"10278","DOID:0080186","nonmucinous bronchioloalveolar adenocarcinoma","NA","NA"
"10281","DOID:0080187","chronic neutrophilic leukemia","NA","NA"
"10284","DOID:0080188","chronic myelomonocytic leukemia","NA","NA"
"10287","DOID:0080189","malignant hemangioma","NA","NA"
"10290","DOID:0080190","malignant epithelioid hemangioendothelioma","NA","NA"
"10293","DOID:0080191","PTEN hamartoma tumor syndrome","NA","NA"
"10296","DOID:0080192","relapsed/refractory diffuse large B-cell lymphoma","NA","NA"
"10299","DOID:0080193","superior semicircular canal dehiscence","""third mobile window syndrome"" EXACT []","NA"
"10307","DOID:0080194","Carey-Fineman-Ziter syndrome","NA","NA"
"10310","DOID:0080195","Marinesco-Sjogren syndrome","""Oligophrenic cerebellolenticular degeneration"" EXACT []","NA"
"10317","DOID:0080196","mandibulofacial dysostosis, Guion-Almeida type","""MFDM syndrome"" EXACT []","NA"
"10323","DOID:0080197","congenital muscular dystrophy with cataracts and intellectual disability","NA","NA"
"10326","DOID:0080198","infantile histiocytoid cardiomyopathy","NA","NA"
"10329","DOID:0080199","colorectal carcinoma","NA","NA"
"10332","DOID:0080200","bilateral renal aplasia","NA","NA"
"10335","DOID:0080201","Peters plus syndrome","""Peters-plus syndrome"" EXACT []","DOID:0070312"
"10342","DOID:0080202","adenoid cystic carcinoma","NA","NA"
"10345","DOID:0080204","renal hypoplasia","NA","NA"
"10348","DOID:0080205","CAKUT","""Renal or urinary tract malformation"" EXACT []","NA"
"10353","DOID:0080206","CAKUT1","""Congenital anomalies of the kidney and urinary tract 1"" EXACT []","NA"
"10357","DOID:0080207","CAKUT2","""Congenital anomalies of the kidney and urinary tract 2"" EXACT []","NA"
"10361","DOID:0080208","non-alcoholic fatty liver disease","""non-alcoholic fatty liver disease"" EXACT []","NA"
"10366","DOID:0080209","sideroblastic anemia with B-cell immunodeficiency, periodic fevers, and developmental delay","""SIFD"" EXACT []","NA"
"10370","DOID:0080210","primary mediastinal B-cell lymphoma","""Primary mediastinal clear cell lymphoma of B-cell type"" EXACT []","NA"
"10376","DOID:0080211","nodal marginal zone lymphoma","NA","NA"
"10379","DOID:0080212","polycystic kidney disease 4","NA","NA"
"10382","DOID:0080213","punctate palmoplantar keratoderma type II","NA","NA"
"10385","DOID:0080214","punctate palmoplantar keratoderma type I","""punctate palmoplantar keratoderma type 1B"" EXACT []","NA"
"10390","DOID:0080215","developmental and epileptic encephalopathy 8","""EIEE8"" EXACT []","NA"
"10396","DOID:0080216","duodenal atresia","NA","NA"
"10399","DOID:0080217","lysosomal and lipase deficiency","NA","NA"
"10402","DOID:0080218","primary spontaneous pneumothorax","NA","NA"
"10405","DOID:0080219","dystransthyretinemic hyperthyroxinemia","NA","NA"
"10408","DOID:0080220","obsolete major affective disorder 1","NA","NA"
"10411","DOID:0080221","obsolete major affective disorder 2","NA","NA"
"10414","DOID:0080222","pseudohypoparathyroidism type IB","NA","NA"
"10417","DOID:0080223","epidermolytic palmoplantar keratoderma","NA","NA"
"10420","DOID:0080224","autosomal dominant dystrophic epidermolysis bullosa","NA","NA"
"10423","DOID:0080225","amyotrophic lateral sclerosis type 23","NA","NA"
"10426","DOID:0080226","autosomal dominant mental retardation 56","NA","NA"
"10429","DOID:0080227","autosomal dominant mental retardation 55","NA","NA"
"10432","DOID:0080228","autosomal dominant mental retardation 53","NA","NA"
"10435","DOID:0080229","obsolete autosomal dominant mental retardation 61","NA","NA"
"10438","DOID:0080230","autosomal dominant mental retardation 54","NA","NA"
"10441","DOID:0080231","autosomal dominant mental retardation 52","NA","NA"
"10444","DOID:0080232","autosomal dominant mental retardation 51","NA","NA"
"10447","DOID:0080233","autosomal dominant mental retardation 50","NA","NA"
"10450","DOID:0080234","Clark-Baraitser syndrome","""CLABARS"" EXACT []","NA"
"10457","DOID:0080235","autosomal dominant mental retardation 48","NA","NA"
"10460","DOID:0080236","autosomal dominant mental retardation 45","NA","NA"
"10463","DOID:0080237","autosomal dominant mental retardation 46","NA","NA"
"10466","DOID:0080238","autosomal dominant mental retardation 47","NA","NA"
"10469","DOID:0080239","autosomal recessive mental retardation 61","""Alwadei syndrome"" EXACT []","DOID:0080229"
"10474","DOID:0080240","non-syndromic X-linked intellectual disability 106","""X-linked mental retardation 106"" EXACT []","NA"
"10479","DOID:0080241","syndromic X-linked mental retardation 35","NA","NA"
"10482","DOID:0080242","syndromic X-linked mental retardation Hough type","NA","NA"
"10485","DOID:0080243","amelogenesis imperfecta type 3B","NA","NA"
"10488","DOID:0080244","Galloway-Mowat syndrome 2","NA","NA"
"10491","DOID:0080245","Galloway-Mowat syndrome 3","NA","NA"
"10494","DOID:0080246","Galloway-Mowat syndrome 4","NA","NA"
"10497","DOID:0080247","Galloway-Mowat syndrome 5","NA","NA"
"10500","DOID:0080248","erythrokeratodermia variabilis et progressiva 2","NA","NA"
"10503","DOID:0080249","erythrokeratodermia variabilis et progressiva 3","NA","NA"
"10506","DOID:0080250","erythrokeratodermia variabilis et progressiva 4","NA","NA"
"10509","DOID:0080251","erythrokeratodermia variabilis et progressiva 5","NA","NA"
"10512","DOID:0080252","spastic ataxia 8","NA","NA"
"10515","DOID:0080253","Meckel syndrome 13","NA","NA"
"10518","DOID:0080254","orofaciodigital syndrome XVI","NA","NA"
"10521","DOID:0080255","Meier-Gorlin syndrome 8","NA","NA"
"10524","DOID:0080256","Perrault syndrome 6","NA","NA"
"10527","DOID:0080257","autosomal recessive congenital ichthyosis 13","NA","NA"
"10530","DOID:0080258","autosomal recessive congenital ichthyosis 14","NA","NA"
"10533","DOID:0080259","autosomal recessive spinocerebellar ataxia 25","NA","NA"
"10536","DOID:0080260","autosomal recessive spinocerebellar ataxia 26","NA","NA"
"10539","DOID:0080261","autosomal recessive nonsyndromic deafness 106","NA","NA"
"10542","DOID:0080262","autosomal recessive nonsyndromic deafness 107","NA","NA"
"10545","DOID:0080263","autosomal recessive nonsyndromic deafness 108","NA","NA"
"10548","DOID:0080264","exudative vitreoretinopathy 7","""EVR7"" EXACT []","NA"
"10552","DOID:0080265","nephrotic syndrome type 14","NA","NA"
"10555","DOID:0080266","primary ciliary dyskinesia 37","NA","NA"
"10558","DOID:0080267","autosomal dominant nonsyndromic deafness 71","NA","NA"
"10561","DOID:0080268","autosomal dominant nonsyndromic deafness 72","NA","NA"
"10564","DOID:0080269","autosomal dominant nonsyndromic deafness 73","NA","NA"
"10567","DOID:0080270","autosomal dominant nonsyndromic deafness 34","NA","NA"
"10570","DOID:0080271","nephrotic syndrome type 15","NA","NA"
"10573","DOID:0080272","nephrotic syndrome type 16","NA","NA"
"10576","DOID:0080273","polycystic kidney disease 5","NA","NA"
"10579","DOID:0080274","multiple mitochondrial dysfunctions syndrome 5","NA","NA"
"10582","DOID:0080275","Joubert syndrome 30","NA","NA"
"10585","DOID:0080276","Joubert syndrome 29","NA","NA"
"10588","DOID:0080277","Joubert syndrome 31","NA","NA"
"10591","DOID:0080278","Joubert syndrome 32","NA","NA"
"10594","DOID:0080279","Joubert syndrome 33","NA","NA"
"10597","DOID:0080280","gingival fibromatosis 5","NA","NA"
"10600","DOID:0080281","schizophrenia 19","NA","NA"
"10603","DOID:0080282","developmental and epileptic encephalopathy 56","""early infantile epileptic encephalopathy 56"" EXACT []","NA"
"10608","DOID:0080283","developmental and epileptic encephalopathy 55","""GPIBD14"" EXACT []","NA"
"10615","DOID:0080284","developmental and epileptic encephalopathy 57","""early infantile epileptic encephalopathy 57"" EXACT []","NA"
"10620","DOID:0080285","developmental and epileptic encephalopathy 58","""early infantile epileptic encephalopathy 58"" EXACT []","NA"
"10625","DOID:0080286","spinocerebellar ataxia 44","NA","NA"
"10628","DOID:0080287","spinocerebellar ataxia 45","NA","NA"
"10631","DOID:0080288","spinocerebellar ataxia 46","NA","NA"
"10634","DOID:0080289","orofaciodigital syndrome XVII","NA","NA"
"10637","DOID:0080290","familial erythrocytosis 5","""ECYT5"" EXACT []","NA"
"10641","DOID:0080291","developmental and epileptic encephalopathy 59","""early infantile epileptic encephalopathy 59"" EXACT []","NA"
"10646","DOID:0080292","retinitis pigmentosa 81","NA","NA"
"10649","DOID:0080293","short-rib thoracic dysplasia 18 with polydactyly","NA","NA"
"10652","DOID:0080294","Charcot-Marie-Tooth disease dominant intermediate G","NA","NA"
"10655","DOID:0080295","short-rib thoracic dysplasia 19 with or without polydactyly","NA","NA"
"10658","DOID:0080296","hypomyelinating leukodystrophy 14","NA","NA"
"10661","DOID:0080297","Coffin-Siris syndrome 6","NA","NA"
"10664","DOID:0080298","complete generalized lipodystrophy","NA","NA"
"10667","DOID:0080299","partial lipodystrophy","NA","NA"
"10670","DOID:0080300","acquired generalized lipodystrophy","""Lawrence syndrome"" EXACT []","NA"
"10674","DOID:0080301","atypical hemolytic-uremic syndrome","NA","NA"
"10677","DOID:0080302","mixed sleep apnea","""complex sleep apnea"" EXACT []","NA"
"10681","DOID:0080303","mucinous lung adenocarcinoma","NA","NA"
"10684","DOID:0080304","lung mucinous cystadenocarcinoma","NA","NA"
"10687","DOID:0080305","signet ring lung adenocarcinoma","NA","NA"
"10690","DOID:0080306","solid adenocarcinoma with mucin production","NA","NA"
"10693","DOID:0080307","myofibrillar myopathy","NA","NA"
"10696","DOID:0080308","myofibrillar myopathy 8","NA","NA"
"10699","DOID:0080309","fatal infantile hypertonic myofibrillar myopathy","NA","NA"
"10702","DOID:0080311","X-linked mental retardation with cerebellar hypoplasia and distinctive facial appearance","NA","NA"
"10705","DOID:0080312","neurodevelopmental disorder with midbrain and hindbrain malformations","""NEDMHM"" EXACT []","NA"
"10709","DOID:0080313","cleft palate-lateral synechia syndrome","""syngnathia"" EXACT []","NA"
"10714","DOID:0080314","cone-rod dystrophy 14","NA","NA"
"10717","DOID:0080315","megalencephalic leukoencephalopathy with subcortical cysts","""vacuolating megalencephalic leukoencephalopathy with subcortical cysts"" EXACT []","NA"
"10722","DOID:0080316","megalencephalic leukoencephalopathy with subcortical cysts 1","""Van Der Knaap disease"" EXACT []","NA"
"10727","DOID:0080317","megalencephalic leukoencephalopathy with subcortical cysts 2B","""megalencephalic leukoencephalopathy with subcortical cysts 2B, remitting, with or without mental retardation"" EXACT []","NA"
"10731","DOID:0080318","megalencephalic leukoencephalopathy with subcortical cysts 2A","NA","NA"
"10734","DOID:0080319","X-linked immunodeficiency with magnesium defect, Epstein-Barr virus infection, and neoplasia","""XMEN"" EXACT []","NA"
"10738","DOID:0080320","peripheral nervous system benign neoplasm","NA","NA"
"10741","DOID:0080321","autonomic nervous system benign neoplasm","NA","NA"
"10744","DOID:0080322","polycystic kidney disease","NA","NA"
"10747","DOID:0080323","pancreatic squamous cell carcinoma","NA","NA"
"10750","DOID:0080324","tuberous sclerosis 1","NA","NA"
"10753","DOID:0080325","tuberous sclerosis 2","NA","NA"
"10756","DOID:0080326","familial hypertrophic cardiomyopathy","NA","NA"
"10759","DOID:0080327","multinucleated neurons, anhydramnios, renal dysplasia, cerebellar hypoplasia and hydranencephaly","""MARCH"" EXACT []","NA"
"10763","DOID:0080328","Culler-Jones syndrome","NA","NA"
"10766","DOID:0080329","cold-induced sweating syndrome 1","NA","NA"
"10769","DOID:0080330","cold-induced sweating syndrome 2","NA","NA"
"10772","DOID:0080331","cold-induced sweating syndrome 3","NA","NA"
"10775","DOID:0080332","bicuspid aortic valve disease","""Familial bicuspid aortic valve"" EXACT []","NA"
"10779","DOID:0080333","aortic valve disease 1","NA","NA"
"10782","DOID:0080334","aortic valve disease 2","NA","NA"
"10785","DOID:0080335","mitochondrial DNA depletion syndrome 12b","NA","NA"
"10788","DOID:0080336","mitochondrial DNA depletion syndrome 14","NA","NA"
"10791","DOID:0080337","mitochondrial DNA depletion syndrome 15","NA","NA"
"10794","DOID:0080338","familial erythrocytosis 3","""ECYT3"" EXACT []","NA"
"10798","DOID:0080339","familial erythrocytosis 4","""ECYT4"" EXACT []","NA"
"10802","DOID:0080340","obsolete X-linked dominant disease","NA","NA"
"10805","DOID:0080341","obsolete X-linked recessive disease","NA","NA"
"10808","DOID:0080342","Simpson-Golabi-Behmel syndrome type 2","NA","NA"
"10811","DOID:0080343","autosomal recessive pyridoxine-refractory sideroblastic anemia 3","NA","NA"
"10814","DOID:0080344","blepharocheilodontic syndrome","""Blepharo-cheilo-odontic syndrome"" EXACT []","NA"
"10818","DOID:0080345","blepharocheilodontic syndrome 1","NA","NA"
"10821","DOID:0080346","blepharocheilodontic syndrome 2","NA","NA"
"10824","DOID:0080347","malignant pheochromocytoma","""Pheochromocytoma, malignant"" EXACT []","NA"
"10828","DOID:0080348","Alzheimer's disease 1","""Alzheimer's disease 1, early onset"" EXACT []","NA"
"10832","DOID:0080349","developmental and epileptic encephalopathy 39","""epileptic encephalopathy with global cerebral demyelination"" EXACT []","DOID:0080423"
"10839","DOID:0080350","retinitis pigmentosa 77","NA","NA"
"10842","DOID:0080351","CLOVES syndrome","""congenital lipomatous overgrowth, vascular malformations, and epidermal nevi"" EXACT []","NA"
"10846","DOID:0080352","X-linked chondrodysplasia punctata 2","""Happle syndrome"" EXACT []","NA"
"10851","DOID:0080353","X-linked recessive hypophosphatemic rickets","NA","NA"
"10854","DOID:0080354","Phelan-McDermid syndrome","""monosomy 22q13 syndrome"" EXACT []","NA"
"10859","DOID:0080355","hepatobiliary system cancer","NA","NA"
"10862","DOID:0080356","IgG4-related disease","NA","NA"
"10865","DOID:0080357","fatal infantile cardioencephalomyopathy due to cytochrome c oxidase deficiency 1","NA","NA"
"10868","DOID:0080358","fatal infantile cardioencephalomyopathy due to cytochrome c oxidase deficiency 2","NA","NA"
"10871","DOID:0080359","fatal infantile cardioencephalomyopathy due to cytochrome c oxidase deficiency 3","NA","NA"
"10874","DOID:0080360","fatal infantile cardioencephalomyopathy due to cytochrome c oxidase deficiency 4","NA","NA"
"10877","DOID:0080361","trimethylaminuria","""fish-odor syndrome"" EXACT []","NA"
"10881","DOID:0080362","X-linked spondyloepiphyseal dysplasia tarda","NA","NA"
"10884","DOID:0080363","mitochondrial pyruvate carrier deficiency","NA","NA"
"10887","DOID:0080364","malignant adenoma","NA","NA"
"10890","DOID:0080365","endometrial hyperplasia","NA","NA"
"10893","DOID:0080366","desmoid tumor","NA","NA"
"10896","DOID:0080367","chronic eosinophilic leukemia","NA","NA"
"10899","DOID:0080368","sex cord-stromal benign neoplasm","NA","NA"
"10902","DOID:0080369","ovarian sex-cord stromal tumor","NA","NA"
"10905","DOID:0080370","ovarian sex cord-stromal benign neoplasm","NA","NA"
"10908","DOID:0080371","testicular sex cord-stromal benign neoplasm","NA","NA"
"10911","DOID:0080372","epithelioid inflammatory myofibroblastic sarcoma","NA","NA"
"10914","DOID:0080373","epididymis disease","NA","NA"
"10917","DOID:0080374","gastroesophageal cancer","NA","NA"
"10920","DOID:0080375","gastroesophageal adenocarcinoma","""gastro-esophageal adenocarcinoma"" EXACT []","NA"
"10925","DOID:0080376","trichorhinophalangeal syndrome type III","""trichorhinophalangeal syndrome type 3"" EXACT []","NA"
"10929","DOID:0080377","peroxisomal biogenesis disorder","NA","DOID:0080378"
"10933","DOID:0080378","obsolete Zellweger spectrum disorder","NA","NA"
"10936","DOID:0080379","nephrotic syndrome type 2","""steroid-resistant autosomal recessive nephrotic syndrome"" EXACT []","NA"
"10940","DOID:0080380","nephrotic syndrome type 5","""nephrotic syndrome type 5, with or without ocular abnormalities"" EXACT []","NA"
"10944","DOID:0080381","nephrotic syndrome type 13","NA","NA"
"10947","DOID:0080382","nephrotic syndrome type 3","""early onset nephrotic syndrome type 3"" EXACT []","NA"
"10951","DOID:0080383","nephrotic syndrome type 4","NA","NA"
"10954","DOID:0080384","nephrotic syndrome type 6","NA","NA"
"10957","DOID:0080385","nephrotic syndrome type 11","NA","NA"
"10960","DOID:0080386","nephrotic syndrome type 10","NA","NA"
"10963","DOID:0080387","nephrotic syndrome type 12","NA","NA"
"10966","DOID:0080388","nephrotic syndrome type 7","""nephrotic syndrome type 7 with membranoptoliferative glomerulonephritis"" EXACT []","NA"
"10974","DOID:0080389","nephrotic syndrome type 8","NA","NA"
"10977","DOID:0080390","nephrotic syndrome type 1","""Finnish congenital nephrosis"" EXACT []","NA"
"10981","DOID:0080391","nephrotic syndrome type 9","NA","NA"
"10984","DOID:0080392","nephrotic syndrome type 17","NA","NA"
"10987","DOID:0080393","nephrotic syndrome type 18","NA","NA"
"10990","DOID:0080394","nephrotic syndrome type 19","NA","NA"
"10993","DOID:0080395","orofacial cleft 1","""nonsyndromic cleft lip with or without cleft palate 1"" EXACT []","NA"
"10997","DOID:0080396","orofacial cleft 2","""nonsyndromic cleft lip with or without cleft palate 2"" EXACT []","NA"
"11001","DOID:0080397","orofacial cleft 3","""nonsyndromic cleft lip with or without cleft palate 3"" EXACT []","NA"
"11005","DOID:0080398","orofacial cleft 4","""nonsyndromic cleft lip with or without cleft palate 4"" EXACT []","NA"
"11009","DOID:0080399","orofacial cleft 5","""nonsyndromic cleft lip with or without cleft palate 5"" EXACT []","NA"
"11013","DOID:0080400","orofacial cleft 7","""Zlotogora-Ogur syndrome"" EXACT []","NA"
"11017","DOID:0080401","orofacial cleft 8","NA","NA"
"11020","DOID:0080402","orofacial cleft 9","""nonsyndromic cleft lip with or without cleft palate 9"" EXACT []","NA"
"11024","DOID:0080403","orofacial cleft 10","""nonsyndromic cleft lip with or without cleft palate 10"" EXACT []","NA"
"11028","DOID:0080404","orofacial cleft 11","""nonsyndromic cleft lip with or without cleft palate 11"" EXACT []","NA"
"11032","DOID:0080405","orofacial cleft 12","""nonsyndromic cleft lip with or without cleft palate 12"" EXACT []","NA"
"11036","DOID:0080406","orofacial cleft 13","NA","NA"
"11039","DOID:0080407","orofacial cleft 14","NA","NA"
"11042","DOID:0080408","orofacial cleft 15","NA","NA"
"11045","DOID:0080409","familial adenomatous polyposis 1","NA","NA"
"11048","DOID:0080410","familial adenomatous polyposis 2","""MUTYH-related attenuated FAP"" EXACT []","NA"
"11055","DOID:0080411","familial adenomatous polyposis 3","NA","NA"
"11058","DOID:0080412","familial adenomatous polyposis 4","NA","NA"
"11061","DOID:0080413","developmental and epileptic encephalopathy 18","""early infantile epileptic encephalopathy 18"" EXACT []","NA"
"11066","DOID:0080414","developmental and epileptic encephalopathy 15","""early infantile epileptic encephalopathy 15"" EXACT []","NA"
"11071","DOID:0080415","developmental and epileptic encephalopathy 23","""Epilepsy-cortical blindness-intellectual disability-facial dysmorphism syndrome"" EXACT []","NA"
"11078","DOID:0080416","developmental and epileptic encephalopathy 32","""early infantile epileptic encephalopathy 32"" EXACT []","NA"
"11083","DOID:0080417","developmental and epileptic encephalopathy 38","""early infantile epileptic encephalopathy 38"" EXACT []","NA"
